time	temp_1	temp_2	temp_3	temp_4	temp_5	temp_6	temp_7	temp_8	temp_9	temp_10	temp_11	temp_12	temp_13	temp_14
1310.37	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1311.17	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1312.02	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1312.79	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1313.68	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1314.42	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1315.24	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1316.06	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1316.87	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1317.68	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1318.50	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1319.31	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1320.15	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1320.94	29.75	31.12	32.50	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1321.75	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1322.59	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1323.37	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1324.19	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1325.00	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1325.82	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1326.63	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1327.51	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1328.29	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
